G,fV,betaV,betaH,Protein_intake,Lipid_intake
0.0233,0,0.69,0.62,,
0.0233,0.01,0.69,0.62,,
0.0233,0.02,0.69,0.62,,
0.0233,0.03,0.69,0.62,,
0.0233,0.04,0.69,0.62,,
0.0233,0.05,0.69,0.62,,
0.0233,0.06,0.69,0.62,,
0.0233,0.07,0.69,0.62,,
0.0233,0.08,0.69,0.62,,
0.0233,0.09,0.69,0.62,,
0.0233,0.1,0.69,0.62,,
0.0233,0.11,0.69,0.62,,
0.0233,0.12,0.69,0.62,,
0.0233,0.13,0.69,0.62,,
0.0233,0.14,0.69,0.62,,
0.0233,0.15,0.69,0.62,,
0.0233,0.16,0.69,0.62,,
0.0233,0.17,0.69,0.62,,
0.0233,0.18,0.69,0.62,,
0.0233,0.19,0.69,0.62,,
0.0233,0.2,0.69,0.62,,
0.0233,0.21,0.69,0.62,,
0.0233,0.22,0.69,0.62,,
0.0233,0.23,0.69,0.62,,
0.0233,0.24,0.69,0.62,,
0.0233,0.25,0.69,0.62,,
0.0233,0.26,0.69,0.62,,
0.0233,0.27,0.69,0.62,,
0.0233,0.28,0.69,0.62,,
0.0233,0.29,0.69,0.62,,
0.0233,0.3,0.69,0.62,,
0.0233,0.31,0.69,0.62,,
0.0233,0.32,0.69,0.62,,
0.0233,0.33,0.69,0.62,,
0.0233,0.34,0.69,0.62,,
0.0233,0.35,0.69,0.62,,
0.0233,0.36,0.69,0.62,,
0.0233,0.37,0.69,0.62,,
0.0233,0.38,0.69,0.62,,
0.0233,0.39,0.69,0.62,,
0.0233,0.4,0.69,0.62,,
0.0233,0.41,0.69,0.62,,
0.0233,0.42,0.69,0.62,,
0.0233,0.43,0.69,0.62,,
0.0233,0.44,0.69,0.62,,
0.0233,0.45,0.69,0.62,,
0.0233,0.46,0.69,0.62,,
0.0233,0.47,0.69,0.62,,
0.0233,0.48,0.69,0.62,,
0.0233,0.49,0.69,0.62,,
0.0233,0.5,0.69,0.62,,
0.0233,0.51,0.69,0.62,,
0.0233,0.52,0.69,0.62,,
0.0233,0.53,0.69,0.62,,
0.0233,0.54,0.69,0.62,,
0.0233,0.55,0.69,0.62,,
0.0233,0.56,0.69,0.62,,
0.0233,0.57,0.69,0.62,,
0.0233,0.58,0.69,0.62,,
0.0233,0.59,0.69,0.62,,
0.0233,0.6,0.69,0.62,,
0.0233,0.61,0.69,0.62,,
0.0233,0.62,0.69,0.62,,
0.0233,0.63,0.69,0.62,,
0.0233,0.64,0.69,0.62,,
0.0233,0.65,0.69,0.62,,
0.0233,0.66,0.69,0.62,,
0.0233,0.67,0.69,0.62,,
0.0233,0.68,0.69,0.62,,
0.0233,0.69,0.69,0.62,,
0.0233,0.7,0.69,0.62,,
0.0233,0.71,0.69,0.62,,
0.0233,0.72,0.69,0.62,,
0.0233,0.73,0.69,0.62,,
0.0233,0.74,0.69,0.62,,
0.0233,0.75,0.69,0.62,,
0.0233,0.76,0.69,0.62,,
0.0233,0.77,0.69,0.62,,
0.0233,0.78,0.69,0.62,,
0.0233,0.79,0.69,0.62,,
0.0233,0.8,0.69,0.62,,
0.0233,0.81,0.69,0.62,,
0.0233,0.82,0.69,0.62,,
0.0233,0.83,0.69,0.62,,
0.0233,0.84,0.69,0.62,,
0.0233,0.85,0.69,0.62,,
0.0233,0.86,0.69,0.62,,
0.0233,0.87,0.69,0.62,,
0.0233,0.88,0.69,0.62,,
0.0233,0.89,0.69,0.62,,
0.0233,0.9,0.69,0.62,,
0.0233,0.91,0.69,0.62,,
0.0233,0.92,0.69,0.62,,
0.0233,0.93,0.69,0.62,,
0.0233,0.94,0.69,0.62,,
0.0233,0.95,0.69,0.62,,
0.0233,0.96,0.69,0.62,,
0.0233,0.97,0.69,0.62,,
0.0233,0.98,0.69,0.62,,
0.0233,0.99,0.69,0.62,,
0.0233,1,0.69,0.62,,
0.027,0,0.69,0.62,,
0.027,0.01,0.69,0.62,,
0.027,0.02,0.69,0.62,,
0.027,0.03,0.69,0.62,,
0.027,0.04,0.69,0.62,,
0.027,0.05,0.69,0.62,,
0.027,0.06,0.69,0.62,,
0.027,0.07,0.69,0.62,,
0.027,0.08,0.69,0.62,,
0.027,0.09,0.69,0.62,,
0.027,0.1,0.69,0.62,,
0.027,0.11,0.69,0.62,,
0.027,0.12,0.69,0.62,,
0.027,0.13,0.69,0.62,,
0.027,0.14,0.69,0.62,,
0.027,0.15,0.69,0.62,,
0.027,0.16,0.69,0.62,,
0.027,0.17,0.69,0.62,,
0.027,0.18,0.69,0.62,,
0.027,0.19,0.69,0.62,,
0.027,0.2,0.69,0.62,,
0.027,0.21,0.69,0.62,,
0.027,0.22,0.69,0.62,,
0.027,0.23,0.69,0.62,,
0.027,0.24,0.69,0.62,,
0.027,0.25,0.69,0.62,,
0.027,0.26,0.69,0.62,,
0.027,0.27,0.69,0.62,,
0.027,0.28,0.69,0.62,,
0.027,0.29,0.69,0.62,,
0.027,0.3,0.69,0.62,,
0.027,0.31,0.69,0.62,,
0.027,0.32,0.69,0.62,,
0.027,0.33,0.69,0.62,,
0.027,0.34,0.69,0.62,,
0.027,0.35,0.69,0.62,,
0.027,0.36,0.69,0.62,,
0.027,0.37,0.69,0.62,,
0.027,0.38,0.69,0.62,,
0.027,0.39,0.69,0.62,,
0.027,0.4,0.69,0.62,,
0.027,0.41,0.69,0.62,,
0.027,0.42,0.69,0.62,,
0.027,0.43,0.69,0.62,,
0.027,0.44,0.69,0.62,,
0.027,0.45,0.69,0.62,,
0.027,0.46,0.69,0.62,,
0.027,0.47,0.69,0.62,,
0.027,0.48,0.69,0.62,,
0.027,0.49,0.69,0.62,,
0.027,0.5,0.69,0.62,,
0.027,0.51,0.69,0.62,,
0.027,0.52,0.69,0.62,,
0.027,0.53,0.69,0.62,,
0.027,0.54,0.69,0.62,,
0.027,0.55,0.69,0.62,,
0.027,0.56,0.69,0.62,,
0.027,0.57,0.69,0.62,,
0.027,0.58,0.69,0.62,,
0.027,0.59,0.69,0.62,,
0.027,0.6,0.69,0.62,,
0.027,0.61,0.69,0.62,,
0.027,0.62,0.69,0.62,,
0.027,0.63,0.69,0.62,,
0.027,0.64,0.69,0.62,,
0.027,0.65,0.69,0.62,,
0.027,0.66,0.69,0.62,,
0.027,0.67,0.69,0.62,,
0.027,0.68,0.69,0.62,,
0.027,0.69,0.69,0.62,,
0.027,0.7,0.69,0.62,,
0.027,0.71,0.69,0.62,,
0.027,0.72,0.69,0.62,,
0.027,0.73,0.69,0.62,,
0.027,0.74,0.69,0.62,,
0.027,0.75,0.69,0.62,,
0.027,0.76,0.69,0.62,,
0.027,0.77,0.69,0.62,,
0.027,0.78,0.69,0.62,,
0.027,0.79,0.69,0.62,,
0.027,0.8,0.69,0.62,,
0.027,0.81,0.69,0.62,,
0.027,0.82,0.69,0.62,,
0.027,0.83,0.69,0.62,,
0.027,0.84,0.69,0.62,,
0.027,0.85,0.69,0.62,,
0.027,0.86,0.69,0.62,,
0.027,0.87,0.69,0.62,,
0.027,0.88,0.69,0.62,,
0.027,0.89,0.69,0.62,,
0.027,0.9,0.69,0.62,,
0.027,0.91,0.69,0.62,,
0.027,0.92,0.69,0.62,,
0.027,0.93,0.69,0.62,,
0.027,0.94,0.69,0.62,,
0.027,0.95,0.69,0.62,,
0.027,0.96,0.69,0.62,,
0.027,0.97,0.69,0.62,,
0.027,0.98,0.69,0.62,,
0.027,0.99,0.69,0.62,,
0.027,1,0.69,0.62,,
0.0243,0,0.69,0.62,,
0.0243,0.01,0.69,0.62,,
0.0243,0.02,0.69,0.62,,
0.0243,0.03,0.69,0.62,,
0.0243,0.04,0.69,0.62,,
0.0243,0.05,0.69,0.62,,
0.0243,0.06,0.69,0.62,,
0.0243,0.07,0.69,0.62,,
0.0243,0.08,0.69,0.62,,
0.0243,0.09,0.69,0.62,,
0.0243,0.1,0.69,0.62,,
0.0243,0.11,0.69,0.62,,
0.0243,0.12,0.69,0.62,,
0.0243,0.13,0.69,0.62,,
0.0243,0.14,0.69,0.62,,
0.0243,0.15,0.69,0.62,,
0.0243,0.16,0.69,0.62,,
0.0243,0.17,0.69,0.62,,
0.0243,0.18,0.69,0.62,,
0.0243,0.19,0.69,0.62,,
0.0243,0.2,0.69,0.62,,
0.0243,0.21,0.69,0.62,,
0.0243,0.22,0.69,0.62,,
0.0243,0.23,0.69,0.62,,
0.0243,0.24,0.69,0.62,,
0.0243,0.25,0.69,0.62,,
0.0243,0.26,0.69,0.62,,
