G,fV,betaV,betaH,Protein_intake,Lipid_intake 
0.0102,0,0.69,0.9685,,
0.0102,0.01,0.69,0.9685,,
0.0102,0.02,0.69,0.9685,,
0.0102,0.03,0.69,0.9685,,
0.0102,0.04,0.69,0.9685,,
0.0102,0.05,0.69,0.9685,,
0.0102,0.06,0.69,0.9685,,
0.0102,0.07,0.69,0.9685,,
0.0102,0.08,0.69,0.9685,,
0.0102,0.09,0.69,0.9685,,
0.0102,0.1,0.69,0.9685,,
0.0102,0.11,0.69,0.9685,,
0.0102,0.12,0.69,0.9685,,
0.0102,0.13,0.69,0.9685,,
0.0102,0.14,0.69,0.9685,,
0.0102,0.15,0.69,0.9685,,
0.0102,0.16,0.69,0.9685,,
0.0102,0.17,0.69,0.9685,,
0.0102,0.18,0.69,0.9685,,
0.0102,0.19,0.69,0.9685,,
0.0102,0.2,0.69,0.9685,,
0.0102,0.21,0.69,0.9685,,
0.0102,0.22,0.69,0.9685,,
0.0102,0.23,0.69,0.9685,,
0.0102,0.24,0.69,0.9685,,
0.0102,0.25,0.69,0.9685,,
0.0102,0.26,0.69,0.9685,,
0.0102,0.27,0.69,0.9685,,
0.0102,0.28,0.69,0.9685,,
0.0102,0.29,0.69,0.9685,,
0.0102,0.3,0.69,0.9685,,
0.0102,0.31,0.69,0.9685,,
0.0102,0.32,0.69,0.9685,,
0.0102,0.33,0.69,0.9685,,
0.0102,0.34,0.69,0.9685,,
0.0102,0.35,0.69,0.9685,,
0.0102,0.36,0.69,0.9685,,
0.0102,0.37,0.69,0.9685,,
0.0102,0.38,0.69,0.9685,,
0.0102,0.39,0.69,0.9685,,
0.0102,0.4,0.69,0.9685,,
0.0102,0.41,0.69,0.9685,,
0.0102,0.42,0.69,0.9685,,
0.0102,0.43,0.69,0.9685,,
0.0102,0.44,0.69,0.9685,,
0.0102,0.45,0.69,0.9685,,
0.0102,0.46,0.69,0.9685,,
0.0102,0.47,0.69,0.9685,,
0.0102,0.48,0.69,0.9685,,
0.0102,0.49,0.69,0.9685,,
0.0102,0.5,0.69,0.9685,,
0.0102,0.51,0.69,0.9685,,
0.0102,0.52,0.69,0.9685,,
0.0102,0.53,0.69,0.9685,,
0.0102,0.54,0.69,0.9685,,
