G,fV,betaV,betaH
0.0043,0,0.796,0.612
0.0043,0.01,0.796,0.612
0.0043,0.02,0.796,0.612
0.0043,0.03,0.796,0.612
0.0043,0.04,0.796,0.612
0.0043,0.05,0.796,0.612
0.0043,0.06,0.796,0.612
0.0043,0.07,0.796,0.612
0.0043,0.08,0.796,0.612
0.0043,0.09,0.796,0.612
0.0043,0.1,0.796,0.612
0.0043,0.11,0.796,0.612
0.0043,0.12,0.796,0.612
0.0043,0.13,0.796,0.612
0.0043,0.14,0.796,0.612
0.0043,0.15,0.796,0.612
0.0043,0.16,0.796,0.612
0.0043,0.17,0.796,0.612
0.0043,0.18,0.796,0.612
0.0043,0.19,0.796,0.612
0.0043,0.2,0.796,0.612
0.0043,0.21,0.796,0.612
0.0043,0.22,0.796,0.612
0.0043,0.23,0.796,0.612
0.0043,0.24,0.796,0.612
0.0043,0.25,0.796,0.612
0.0043,0.26,0.796,0.612
0.0043,0.27,0.796,0.612
0.0043,0.28,0.796,0.612
0.0043,0.29,0.796,0.612
0.0043,0.3,0.796,0.612
0.0043,0.31,0.796,0.612
0.0043,0.32,0.796,0.612
0.0043,0.33,0.796,0.612
0.0043,0.34,0.796,0.612
0.0043,0.35,0.796,0.612
0.0043,0.36,0.796,0.612
0.0043,0.37,0.796,0.612
0.0043,0.38,0.796,0.612
0.0043,0.39,0.796,0.612
0.0043,0.4,0.796,0.612
0.0043,0.41,0.796,0.612
0.0043,0.42,0.796,0.612
0.0043,0.43,0.796,0.612
0.0043,0.44,0.796,0.612
0.0043,0.45,0.796,0.612
0.0043,0.46,0.796,0.612
0.0043,0.47,0.796,0.612
0.0043,0.48,0.796,0.612
0.0043,0.49,0.796,0.612
0.0043,0.5,0.796,0.612
0.0043,0.51,0.796,0.612
0.0043,0.52,0.796,0.612
0.0043,0.53,0.796,0.612
0.0043,0.54,0.796,0.612
0.0043,0.55,0.796,0.612
0.0043,0.56,0.796,0.612
0.0043,0.57,0.796,0.612
0.0043,0.58,0.796,0.612
0.0043,0.59,0.796,0.612
0.0043,0.6,0.796,0.612
0.0043,0.61,0.796,0.612
0.0043,0.62,0.796,0.612
0.0043,0.63,0.796,0.612
0.0043,0.64,0.796,0.612
0.0043,0.65,0.796,0.612
0.0043,0.66,0.796,0.612
0.0043,0.67,0.796,0.612
0.0043,0.68,0.796,0.612
0.0043,0.69,0.796,0.612
0.0043,0.7,0.796,0.612
0.0043,0.71,0.796,0.612
0.0043,0.72,0.796,0.612
0.0043,0.73,0.796,0.612
0.0043,0.74,0.796,0.612
0.0043,0.75,0.796,0.612
0.0043,0.76,0.796,0.612
0.0043,0.77,0.796,0.612
0.0043,0.78,0.796,0.612
0.0043,0.79,0.796,0.612
0.0043,0.8,0.796,0.612
0.0043,0.81,0.796,0.612
0.0043,0.82,0.796,0.612
0.0043,0.83,0.796,0.612
0.0043,0.84,0.796,0.612
0.0043,0.85,0.796,0.612
0.0043,0.86,0.796,0.612
0.0043,0.87,0.796,0.612
0.0043,0.88,0.796,0.612
0.0043,0.89,0.796,0.612
0.0043,0.9,0.796,0.612
0.0043,0.91,0.796,0.612
0.0043,0.92,0.796,0.612
0.0043,0.93,0.796,0.612
0.0043,0.94,0.796,0.612
0.0043,0.95,0.796,0.612
0.0043,0.96,0.796,0.612
0.0043,0.97,0.796,0.612
0.0043,0.98,0.796,0.612
0.0043,0.99,0.796,0.612
0.0043,1,0.796,0.612
0.0051,0,0.863,0.672
0.0051,0.01,0.863,0.672
0.0051,0.02,0.863,0.672
0.0051,0.03,0.863,0.672
0.0051,0.04,0.863,0.672
0.0051,0.05,0.863,0.672
0.0051,0.06,0.863,0.672
0.0051,0.07,0.863,0.672
0.0051,0.08,0.863,0.672
0.0051,0.09,0.863,0.672
0.0051,0.1,0.863,0.672
0.0051,0.11,0.863,0.672
0.0051,0.12,0.863,0.672
0.0051,0.13,0.863,0.672
0.0051,0.14,0.863,0.672
0.0051,0.15,0.863,0.672
0.0051,0.16,0.863,0.672
0.0051,0.17,0.863,0.672
0.0051,0.18,0.863,0.672
0.0051,0.19,0.863,0.672
0.0051,0.2,0.863,0.672
0.0051,0.21,0.863,0.672
0.0051,0.22,0.863,0.672
0.0051,0.23,0.863,0.672
0.0051,0.24,0.863,0.672
0.0051,0.25,0.863,0.672
0.0051,0.26,0.863,0.672
0.0051,0.27,0.863,0.672
0.0051,0.28,0.863,0.672
0.0051,0.29,0.863,0.672
0.0051,0.3,0.863,0.672
0.0051,0.31,0.863,0.672
0.0051,0.32,0.863,0.672
0.0051,0.33,0.863,0.672
0.0051,0.34,0.863,0.672
0.0051,0.35,0.863,0.672
0.0051,0.36,0.863,0.672
0.0051,0.37,0.863,0.672
0.0051,0.38,0.863,0.672
0.0051,0.39,0.863,0.672
0.0051,0.4,0.863,0.672
0.0051,0.41,0.863,0.672
0.0051,0.42,0.863,0.672
0.0051,0.43,0.863,0.672
0.0051,0.44,0.863,0.672
0.0051,0.45,0.863,0.672
0.0051,0.46,0.863,0.672
0.0051,0.47,0.863,0.672
0.0051,0.48,0.863,0.672
0.0051,0.49,0.863,0.672
0.0051,0.5,0.863,0.672
0.0051,0.51,0.863,0.672
0.0051,0.52,0.863,0.672
0.0051,0.53,0.863,0.672
0.0051,0.54,0.863,0.672
0.0051,0.55,0.863,0.672
0.0051,0.56,0.863,0.672
0.0051,0.57,0.863,0.672
0.0051,0.58,0.863,0.672
0.0051,0.59,0.863,0.672
0.0051,0.6,0.863,0.672
0.0051,0.61,0.863,0.672
0.0051,0.62,0.863,0.672
0.0051,0.63,0.863,0.672
0.0051,0.64,0.863,0.672
0.0051,0.65,0.863,0.672
0.0051,0.66,0.863,0.672
0.0051,0.67,0.863,0.672
0.0051,0.68,0.863,0.672
0.0051,0.69,0.863,0.672
0.0051,0.7,0.863,0.672
0.0051,0.71,0.863,0.672
0.0051,0.72,0.863,0.672
0.0051,0.73,0.863,0.672
0.0051,0.74,0.863,0.672
0.0051,0.75,0.863,0.672
0.0051,0.76,0.863,0.672
0.0051,0.77,0.863,0.672
0.0051,0.78,0.863,0.672
0.0051,0.79,0.863,0.672
0.0051,0.8,0.863,0.672
0.0051,0.81,0.863,0.672
0.0051,0.82,0.863,0.672
0.0051,0.83,0.863,0.672
0.0051,0.84,0.863,0.672
0.0051,0.85,0.863,0.672
0.0051,0.86,0.863,0.672
0.0051,0.87,0.863,0.672
0.0051,0.88,0.863,0.672
0.0051,0.89,0.863,0.672
0.0051,0.9,0.863,0.672
0.0051,0.91,0.863,0.672
0.0051,0.92,0.863,0.672
0.0051,0.93,0.863,0.672
0.0051,0.94,0.863,0.672
0.0051,0.95,0.863,0.672
0.0051,0.96,0.863,0.672
0.0051,0.97,0.863,0.672
0.0051,0.98,0.863,0.672
0.0051,0.99,0.863,0.672
0.0051,1,0.863,0.672
0.0057,0,0.655,0.53
0.0057,0.01,0.655,0.53
0.0057,0.02,0.655,0.53
0.0057,0.03,0.655,0.53
0.0057,0.04,0.655,0.53
0.0057,0.05,0.655,0.53
0.0057,0.06,0.655,0.53
0.0057,0.07,0.655,0.53
0.0057,0.08,0.655,0.53
0.0057,0.09,0.655,0.53
0.0057,0.1,0.655,0.53
0.0057,0.11,0.655,0.53
0.0057,0.12,0.655,0.53
0.0057,0.13,0.655,0.53
0.0057,0.14,0.655,0.53
0.0057,0.15,0.655,0.53
0.0057,0.16,0.655,0.53
0.0057,0.17,0.655,0.53
0.0057,0.18,0.655,0.53
0.0057,0.19,0.655,0.53
0.0057,0.2,0.655,0.53
0.0057,0.21,0.655,0.53
0.0057,0.22,0.655,0.53
0.0057,0.23,0.655,0.53
0.0057,0.24,0.655,0.53
0.0057,0.25,0.655,0.53
0.0057,0.26,0.655,0.53
0.0057,0.27,0.655,0.53
0.0057,0.28,0.655,0.53
0.0057,0.29,0.655,0.53
0.0057,0.3,0.655,0.53
0.0057,0.31,0.655,0.53
0.0057,0.32,0.655,0.53
0.0057,0.33,0.655,0.53
0.0057,0.34,0.655,0.53
0.0057,0.35,0.655,0.53
0.0057,0.36,0.655,0.53
0.0057,0.37,0.655,0.53
0.0057,0.38,0.655,0.53
0.0057,0.39,0.655,0.53
0.0057,0.4,0.655,0.53
0.0057,0.41,0.655,0.53
0.0057,0.42,0.655,0.53
0.0057,0.43,0.655,0.53
0.0057,0.44,0.655,0.53
0.0057,0.45,0.655,0.53
0.0057,0.46,0.655,0.53
0.0057,0.47,0.655,0.53
0.0057,0.48,0.655,0.53
0.0057,0.49,0.655,0.53
0.0057,0.5,0.655,0.53
0.0057,0.51,0.655,0.53
0.0057,0.52,0.655,0.53
0.0057,0.53,0.655,0.53
0.0057,0.54,0.655,0.53
0.0057,0.55,0.655,0.53
0.0057,0.56,0.655,0.53
0.0057,0.57,0.655,0.53
0.0057,0.58,0.655,0.53
0.0057,0.59,0.655,0.53
0.0057,0.6,0.655,0.53
0.0057,0.61,0.655,0.53
0.0057,0.62,0.655,0.53
0.0057,0.63,0.655,0.53
0.0057,0.64,0.655,0.53
0.0057,0.65,0.655,0.53
0.0057,0.66,0.655,0.53
0.0057,0.67,0.655,0.53
0.0057,0.68,0.655,0.53
0.0057,0.69,0.655,0.53
0.0057,0.7,0.655,0.53
0.0057,0.71,0.655,0.53
0.0057,0.72,0.655,0.53
0.0057,0.73,0.655,0.53
0.0057,0.74,0.655,0.53
0.0057,0.75,0.655,0.53
0.0057,0.76,0.655,0.53
0.0057,0.77,0.655,0.53
0.0057,0.78,0.655,0.53
0.0057,0.79,0.655,0.53
0.0057,0.8,0.655,0.53
0.0057,0.81,0.655,0.53
0.0057,0.82,0.655,0.53
0.0057,0.83,0.655,0.53
0.0057,0.84,0.655,0.53
0.0057,0.85,0.655,0.53
0.0057,0.86,0.655,0.53
0.0057,0.87,0.655,0.53
0.0057,0.88,0.655,0.53
0.0057,0.89,0.655,0.53
0.0057,0.9,0.655,0.53
0.0057,0.91,0.655,0.53
0.0057,0.92,0.655,0.53
0.0057,0.93,0.655,0.53
0.0057,0.94,0.655,0.53
0.0057,0.95,0.655,0.53
0.0057,0.96,0.655,0.53
0.0057,0.97,0.655,0.53
0.0057,0.98,0.655,0.53
0.0057,0.99,0.655,0.53
0.0057,1,0.655,0.53
0.006,0,0.858,0.665
0.006,0.01,0.858,0.665
0.006,0.02,0.858,0.665
0.006,0.03,0.858,0.665
0.006,0.04,0.858,0.665
0.006,0.05,0.858,0.665
0.006,0.06,0.858,0.665
0.006,0.07,0.858,0.665
0.006,0.08,0.858,0.665
0.006,0.09,0.858,0.665
0.006,0.1,0.858,0.665
0.006,0.11,0.858,0.665
0.006,0.12,0.858,0.665
0.006,0.13,0.858,0.665
0.006,0.14,0.858,0.665
0.006,0.15,0.858,0.665
0.006,0.16,0.858,0.665
0.006,0.17,0.858,0.665
0.006,0.18,0.858,0.665
0.006,0.19,0.858,0.665
0.006,0.2,0.858,0.665
0.006,0.21,0.858,0.665
0.006,0.22,0.858,0.665
0.006,0.23,0.858,0.665
0.006,0.24,0.858,0.665
0.006,0.25,0.858,0.665
0.006,0.26,0.858,0.665
0.006,0.27,0.858,0.665
0.006,0.28,0.858,0.665
0.006,0.29,0.858,0.665
0.006,0.3,0.858,0.665
0.006,0.31,0.858,0.665
0.006,0.32,0.858,0.665
0.006,0.33,0.858,0.665
0.006,0.34,0.858,0.665
0.006,0.35,0.858,0.665
0.006,0.36,0.858,0.665
0.006,0.37,0.858,0.665
0.006,0.38,0.858,0.665
0.006,0.39,0.858,0.665
0.006,0.4,0.858,0.665
0.006,0.41,0.858,0.665
0.006,0.42,0.858,0.665
0.006,0.43,0.858,0.665
0.006,0.44,0.858,0.665
0.006,0.45,0.858,0.665
0.006,0.46,0.858,0.665
0.006,0.47,0.858,0.665
0.006,0.48,0.858,0.665
0.006,0.49,0.858,0.665
0.006,0.5,0.858,0.665
0.006,0.51,0.858,0.665
0.006,0.52,0.858,0.665
0.006,0.53,0.858,0.665
0.006,0.54,0.858,0.665
0.006,0.55,0.858,0.665
0.006,0.56,0.858,0.665
0.006,0.57,0.858,0.665
0.006,0.58,0.858,0.665
0.006,0.59,0.858,0.665
0.006,0.6,0.858,0.665
0.006,0.61,0.858,0.665
0.006,0.62,0.858,0.665
0.006,0.63,0.858,0.665
0.006,0.64,0.858,0.665
0.006,0.65,0.858,0.665
0.006,0.66,0.858,0.665
0.006,0.67,0.858,0.665
0.006,0.68,0.858,0.665
0.006,0.69,0.858,0.665
0.006,0.7,0.858,0.665
0.006,0.71,0.858,0.665
0.006,0.72,0.858,0.665
0.006,0.73,0.858,0.665
0.006,0.74,0.858,0.665
0.006,0.75,0.858,0.665
0.006,0.76,0.858,0.665
0.006,0.77,0.858,0.665
0.006,0.78,0.858,0.665
0.006,0.79,0.858,0.665
0.006,0.8,0.858,0.665
0.006,0.81,0.858,0.665
0.006,0.82,0.858,0.665
0.006,0.83,0.858,0.665
0.006,0.84,0.858,0.665
0.006,0.85,0.858,0.665
0.006,0.86,0.858,0.665
0.006,0.87,0.858,0.665
0.006,0.88,0.858,0.665
0.006,0.89,0.858,0.665
0.006,0.9,0.858,0.665
0.006,0.91,0.858,0.665
0.006,0.92,0.858,0.665
0.006,0.93,0.858,0.665
0.006,0.94,0.858,0.665
0.006,0.95,0.858,0.665
0.006,0.96,0.858,0.665
0.006,0.97,0.858,0.665
0.006,0.98,0.858,0.665
0.006,0.99,0.858,0.665
0.006,1,0.858,0.665
